UMAP 1,UMAP 2,Latent ID
12.187437,10.130077,layers.14_latent466
11.532361,8.702116,layers.14_latent467
9.186264,11.128679,layers.14_latent469
11.553543,11.805443,layers.14_latent470
9.222193,12.011639,layers.14_latent471
11.368079,12.316365,layers.14_latent472
11.933049,11.623589,layers.14_latent473
8.900171,10.888396,layers.14_latent474
8.859383,10.807124,layers.14_latent475
9.141272,10.745399,layers.14_latent476
8.928572,12.360405,layers.14_latent477
8.888429,10.844443,layers.14_latent478
10.762869,12.169995,layers.14_latent479
10.464551,9.54217,layers.14_latent480
9.567185,11.34278,layers.14_latent481
10.813151,8.806951,layers.14_latent482
11.882568,11.978404,layers.14_latent484
9.34866,11.146257,layers.14_latent485
8.925902,10.661935,layers.14_latent486
9.331664,10.470793,layers.14_latent487
10.009477,10.914587,layers.14_latent488
12.027914,10.538514,layers.14_latent489
10.336229,12.230838,layers.14_latent490
9.640579,10.148497,layers.14_latent492
9.620792,7.620875,layers.14_latent493
8.966963,10.892536,layers.14_latent494
11.657966,8.064779,layers.14_latent495
9.939706,8.000439,layers.14_latent496
9.203212,10.825111,layers.14_latent497
8.792884,10.902003,layers.14_latent498
11.817038,10.134498,layers.14_latent499
9.795629,11.349989,layers.14_latent500
9.088102,11.102951,layers.14_latent501
9.976004,9.094809,layers.14_latent503
9.398044,10.596961,layers.14_latent504
10.4382,12.605603,layers.14_latent505
11.269429,11.884113,layers.14_latent506
11.695612,8.259536,layers.14_latent507
8.920066,11.134897,layers.14_latent508
8.948682,10.919013,layers.14_latent510
10.335905,8.167964,layers.14_latent511
10.621911,8.863964,layers.14_latent512
10.101568,10.133747,layers.14_latent513
9.8641615,8.373355,layers.14_latent514
11.091986,9.860162,layers.14_latent515
8.88608,10.584043,layers.14_latent516
9.714944,13.225621,layers.14_latent517
10.494166,8.239996,layers.14_latent518
8.693977,11.00649,layers.14_latent519
9.612213,11.015101,layers.14_latent521
9.033054,10.851872,layers.14_latent522
10.930824,11.705501,layers.14_latent523
9.911042,12.879349,layers.14_latent524
11.429571,8.51739,layers.14_latent525
10.303395,10.3844,layers.14_latent527
8.925779,10.749678,layers.14_latent528
9.107664,10.7274685,layers.14_latent529
9.746242,11.170071,layers.14_latent530
8.96098,10.832838,layers.14_latent531
8.525975,9.686557,layers.14_latent532
11.821981,11.755404,layers.14_latent533
9.237893,10.880119,layers.14_latent534
9.915366,12.179289,layers.14_latent535
11.655425,8.216522,layers.14_latent536
11.5761175,8.265965,layers.14_latent537
9.718402,10.1573715,layers.14_latent538
9.0067425,10.787214,layers.14_latent539
10.027329,8.8803005,layers.14_latent540
9.46501,8.711328,layers.14_latent541
9.439499,9.790246,layers.14_latent542
8.880562,10.69527,layers.14_latent543
9.723024,8.07963,layers.14_latent544
9.039419,10.544811,layers.14_latent545
9.235234,10.682494,layers.14_latent546
8.515663,12.59822,layers.14_latent547
8.909581,10.700101,layers.14_latent549
12.041394,11.794038,layers.14_latent550
9.101525,10.702751,layers.14_latent551
9.083506,10.558104,layers.14_latent553
9.139838,11.1668825,layers.14_latent554
11.319841,11.528622,layers.14_latent555
9.539285,11.214771,layers.14_latent556
11.780819,8.014258,layers.14_latent557
8.731585,10.987529,layers.14_latent558
9.895189,8.60184,layers.14_latent560
9.676793,11.385298,layers.14_latent561
10.365439,8.713563,layers.14_latent562
10.150876,10.176635,layers.14_latent563
11.736943,8.5714655,layers.14_latent564
9.991065,8.774653,layers.14_latent565
9.695299,11.016259,layers.14_latent567
12.271699,12.303883,layers.14_latent568
12.12524,12.308219,layers.14_latent569
10.106358,8.174826,layers.14_latent571
8.861448,10.740273,layers.14_latent572
8.367358,11.685214,layers.14_latent573
9.383216,8.967214,layers.14_latent574
9.800201,8.107299,layers.14_latent575
11.528467,8.172125,layers.14_latent576
9.323873,10.841858,layers.14_latent577
11.4410715,11.826552,layers.14_latent578
9.623644,13.3757,layers.14_latent579
7.8377967,11.85987,layers.14_latent581
11.516431,8.371588,layers.14_latent582
10.003956,11.005377,layers.14_latent584
9.055706,10.929779,layers.14_latent585
9.914552,12.895174,layers.14_latent586
11.247079,11.792954,layers.14_latent587
11.739385,10.597157,layers.14_latent588
11.978456,12.489347,layers.14_latent589
12.266359,10.6908865,layers.14_latent590
11.798911,8.139764,layers.14_latent591
9.019649,12.632072,layers.14_latent592
9.4536085,8.006549,layers.14_latent593
11.427145,8.463675,layers.14_latent594
9.151661,11.174059,layers.14_latent597
10.526464,11.302512,layers.14_latent598
8.077642,12.352345,layers.14_latent599
8.996274,10.664241,layers.14_latent600
9.18217,10.8435755,layers.14_latent601
