LatentID,mean_sim_knn,median_sim_knn,min_sim_knn,max_sim_knn
layers.14_latent65300,0.30734,0.29140788,0.23121642,0.4209426
layers.14_latent29379,0.58114463,0.5940875,0.445495,0.6930907
layers.14_latent22181,0.41964373,0.4582963,0.26340625,0.52962875
layers.14_latent33954,0.6147937,0.62687826,0.27361453,0.8903413
layers.14_latent11741,0.66245186,0.7108557,0.42172843,0.8583563
layers.14_latent20720,0.45838705,0.46344548,0.16285007,0.6765256
layers.14_latent31889,0.4343957,0.42635435,0.2773404,0.60870814
layers.14_latent65445,0.58090496,0.58982825,0.4207723,0.723207
layers.14_latent60164,0.50553405,0.47428048,0.37025565,0.70301205
layers.14_latent30366,0.5286311,0.50686216,0.29391268,0.7361367
layers.14_latent28028,0.4899899,0.49569294,0.31280866,0.7480499
layers.14_latent21457,0.46848306,0.49653015,0.3060845,0.61221033
layers.14_latent37925,0.5943438,0.57412547,0.50535685,0.7665858
layers.14_latent62290,0.34609553,0.33348358,0.29245588,0.4602492
layers.14_latent26180,0.5191091,0.53545153,0.3649349,0.62956226
layers.14_latent6594,0.5562912,0.5292803,0.36090645,0.73319185
layers.14_latent55657,0.4626476,0.44288307,0.23714402,0.7019309
layers.14_latent29144,0.47614568,0.4675327,0.39536995,0.5774568
layers.14_latent36886,0.40322733,0.39285582,0.18684626,0.66349816
layers.14_latent49643,0.50928897,0.5170312,0.3913322,0.58841765
layers.14_latent17786,0.35749203,0.3387969,0.1411651,0.72010887
layers.14_latent52217,0.4878934,0.4996259,0.30568683,0.6248871
layers.14_latent35929,0.5213525,0.48984307,0.30818957,0.69948816
layers.14_latent12613,0.5483006,0.510273,0.45826387,0.6889268
layers.14_latent57371,0.41158342,0.4419072,0.19496424,0.5931292
layers.14_latent4351,0.4401896,0.46186787,0.2024898,0.6096595
layers.14_latent5055,0.47950825,0.47559172,0.32138735,0.63186514
layers.14_latent41418,0.5096303,0.5124215,0.33382946,0.67826796
layers.14_latent45096,0.4049117,0.4148867,0.23478425,0.5486194
layers.14_latent31083,0.49564448,0.47841787,0.2221326,0.76392424
layers.14_latent15091,0.58752143,0.62310576,0.42179638,0.73457384
layers.14_latent50975,0.67104954,0.68026733,0.44700956,0.87196255
layers.14_latent17292,0.50496644,0.49582452,0.30819368,0.7696022
layers.14_latent33340,0.30882534,0.31774828,0.24468063,0.3530839
layers.14_latent19430,0.62070215,0.6451938,0.36493477,0.81938785
layers.14_latent30519,0.44442645,0.46649924,0.25437018,0.60975605
layers.14_latent53514,0.44146928,0.42889756,0.32720706,0.5652749
layers.14_latent37059,0.32673568,0.3215155,0.15996253,0.53780806
layers.14_latent37417,0.484197,0.55204284,0.19683588,0.75330865
layers.14_latent64850,0.5067492,0.5423018,0.2728976,0.7575052
layers.14_latent22796,0.56757116,0.5919186,0.33164877,0.72531223
layers.14_latent25941,0.45320717,0.43041104,0.24059924,0.7274422
layers.14_latent950,0.4516757,0.4162485,0.30092078,0.6518808
layers.14_latent24040,0.49424616,0.47923094,0.19557944,0.7836361
layers.14_latent48049,0.3877574,0.41121602,0.11207203,0.6264191
layers.14_latent65279,0.6012834,0.59693617,0.39781427,0.81665003
layers.14_latent47934,0.51046026,0.51761144,0.3720219,0.6127019
layers.14_latent65075,0.60724664,0.5780368,0.4350556,0.7663278
layers.14_latent6835,0.51989067,0.53169477,0.39288336,0.5885811
layers.14_latent3913,0.52515507,0.4895084,0.41694057,0.64592564
layers.14_latent11792,0.49238357,0.5210079,0.2943771,0.6894176
layers.14_latent22743,0.49577588,0.50817,0.3329689,0.64812934
layers.14_latent56650,0.54336846,0.5193645,0.43406063,0.7090765
layers.14_latent35585,0.57514733,0.5950717,0.36955523,0.76288956
layers.14_latent54754,0.5410249,0.5657593,0.36620122,0.73748237
layers.14_latent33836,0.36508322,0.31385165,0.20755352,0.8843341
layers.14_latent41269,0.37618482,0.3342275,0.26366797,0.61050665
layers.14_latent27014,0.5756481,0.582088,0.4403529,0.66928124
layers.14_latent54019,0.63562167,0.6248838,0.41434947,0.8281294
layers.14_latent32824,0.58490056,0.534498,0.44754696,0.79435414
layers.14_latent43177,0.5789787,0.5590824,0.34453467,0.8241588
layers.14_latent46864,0.37262553,0.35550135,0.1869865,0.589592
layers.14_latent23205,0.52783155,0.49022138,0.28280056,0.7548757
layers.14_latent7271,0.36718848,0.3125808,0.22439596,0.6372536
layers.14_latent63175,0.58517563,0.61988735,0.2463701,0.8990791
layers.14_latent20879,0.5767647,0.55104625,0.40258664,0.7986104
layers.14_latent15589,0.5852435,0.56540525,0.5252575,0.66603935
layers.14_latent23016,0.6507267,0.6500769,0.5328212,0.7924508
layers.14_latent4763,0.6233959,0.64713216,0.35518834,0.80951095
layers.14_latent54611,0.530189,0.4849984,0.32067153,0.75085723
layers.14_latent8436,0.5320738,0.53715557,0.37960553,0.70889807
layers.14_latent64814,0.53374577,0.54851377,0.28401348,0.8757149
layers.14_latent28260,0.60690325,0.58961314,0.49517623,0.8075991
layers.14_latent2206,0.5233596,0.5588412,0.3437248,0.6093952
layers.14_latent53449,0.40718755,0.42117935,0.28028533,0.54347277
layers.14_latent58847,0.59216225,0.61722463,0.36470377,0.70245284
layers.14_latent49777,0.47748336,0.48721522,0.300269,0.5902332
layers.14_latent27268,0.6401106,0.650698,0.44949222,0.75218153
layers.14_latent30368,0.44821006,0.46595508,0.35995957,0.5206606
layers.14_latent37844,0.4692983,0.48798954,0.35886714,0.5267335
layers.14_latent57004,0.65768933,0.6698908,0.3632911,0.8336123
layers.14_latent61904,0.41930598,0.33412793,0.23498306,0.832958
layers.14_latent25137,0.4410563,0.43579227,0.155319,0.7220911
layers.14_latent2665,0.40942645,0.41882086,0.17431462,0.6066601
layers.14_latent10481,0.5195197,0.49673426,0.465555,0.6181501
layers.14_latent51945,0.45247903,0.40798128,0.24490616,0.72597456
layers.14_latent13434,0.6011133,0.5815185,0.33245826,0.8232656
layers.14_latent1891,0.3348923,0.3300052,0.22439374,0.42304665
layers.14_latent26437,0.50021964,0.47183958,0.3762709,0.67964256
layers.14_latent36532,0.58033895,0.6159177,0.36082393,0.76779026
layers.14_latent16780,0.5279445,0.51070696,0.27626917,0.80486643
layers.14_latent34984,0.4395226,0.4553551,0.23372039,0.6155758
layers.14_latent38945,0.5133481,0.47277164,0.2617905,0.69977486
layers.14_latent23096,0.45498553,0.46542734,0.31248754,0.54418254
layers.14_latent15179,0.4563375,0.43170875,0.30755135,0.6329255
layers.14_latent16853,0.38870093,0.38245836,0.13678232,0.6483331
layers.14_latent50438,0.44178516,0.44578612,0.2568256,0.55252635
layers.14_latent52415,0.64408875,0.5941452,0.4814412,0.8566853
layers.14_latent43309,0.54187006,0.5430636,0.26451728,0.7357755
layers.14_latent13083,0.5315637,0.48615074,0.3238986,0.7467619
